'CM_id',1,2,3,4,5,6,7,8,9,10,'GHM'
'28','DP','D-055','DP','D-022','1A','A-180',,,,,'28Z01Z'
'28','DP','D-055','DP','D-022','1A','A-181',,,,,'28Z02Z'
'28','DP','D-055','DP','D-022','1A','A-234',,,,,'28Z03Z'
'28','DP','D-055','DP','D-022','DP','D-094',,,,,'28Z04Z'
'28','DP','D-055','DP','D-022','DP','D-109',,,,,'28Z05Z'
'28','DP','D-055','DP','D-022','DP','D-110',,,,,'28Z06Z'
'28','DP','D-055','DP','D-022',,,,,,,'90Z02Z'
'28','DP','D-055','DP','D-023',,,,,,,'28Z07Z'
'28','DP','D-055','DP','D-051','1A','A-169',,,,,'28Z08Z'
'28','DP','D-055','DP','D-051',,,,,,,'28Z09Z'
'28','DP','D-055','DP','D-052','1A','A-205',,,,,'28Z10Z'
'28','DP','D-055','DP','D-052','1A','A-170',,,,,'28Z11Z'
'28','DP','D-055','DP','D-052','1A','A-171',,,,,'28Z12Z'
'28','DP','D-055','DP','D-052','1A','A-182',,,,,'28Z13Z'
'28','DP','D-055','DP','D-052',,,,,,,'90Z02Z'
'28','DP','D-055','DP','D-048',,,,,,,'28Z14Z'
'28','DP','D-055','DP','D-111',,,,,,,'28Z15Z'
'28','DS','>=2',,,,,,,,,'90Z01Z'
'28','NS','>=2',,,,,,,,,'90Z01Z'
'24','MS','décès','1D','D-011',,,,,,,'24Z09E'
'24','MS','décès','DP','D-081',,,,,,,'24Z10E'
'24','MS','transfert','Dest','MCO','DP','D-081',,,,,'24Z24Z'
'24','MS','transfert','Dest','MCO','DP','D-082',,,,,'24Z25Z'
'24','MS','transfert','Dest','MCO',,,,,,,'24Z22Z'
'24','DP','D-076',,,,,,,,,'24Z19Z'
'24','DP','D-108',,,,,,,,,'24Z19Z'
'24','nA','non opératoires','1A','A-138',,,,,,,'24K01Z'
'24','nA','non opératoires','1A','A-215',,,,,,,'24K37Z'
'24','nA','non opératoires','1A','A-217','1A','A-218','1A','A-219','1A','activité 4','24K24Z'
'24','nA','non opératoires','1A','A-217','1A','A-218','1A','A-219',,,'24K25Z'
'24','nA','non opératoires','1A','A-217','1A','A-221','1A','A-222','1A','activité 4','24K26Z'
'24','nA','non opératoires','1A','A-217','1A','A-221','1A','A-222',,,'24K27Z'
'24','nA','non opératoires','1A','A-217','1A','A-221','1A','activité 4',,,'24K28Z'
'24','nA','non opératoires','1A','A-217','1A','A-221',,,,,'24K29Z'
'24','nA','non opératoires','1A','A-217','1A','A-224','1A','A-225','1A','activité 4','24K30Z'
'24','nA','non opératoires','1A','A-217','1A','A-224','1A','A-225',,,'24K31Z'
'24','nA','non opératoires','1A','A-217','1A','A-224','1A','activité 4',,,'24K32Z'
'24','nA','non opératoires','1A','A-217','1A','A-224',,,,,'24K33Z'
'24','nA','non opératoires','1A','A-217','1A','A-227',,,,,'24K34Z'
'24','nA','non opératoires','1A','A-217','1A','A-228',,,,,'24K35Z'
'24','nA','non opératoires','1A','A-168',,,,,,,'24K04Z'
'24','nA','non opératoires','1A','A-177',,,,,,,'24K05Z'
'24','1A','A-183',,,,,,,,,'24C39Z'
'24','DP','CM01','1A','CM01','1A','A-005',,,,,'24C54Z'
'24','DP','CM01','1A','CM01',,,,,,,'24C02Z'
'24','DP','CM01','1A','non médical',,,,,,,'90H03Z'
'24','DP','CM01','1A','activité 4',,,,,,,'24K14Z'
'24','DP','CM01','DP','D-083',,,,,,,'24M01Z'
'24','DP','CM01','DP','D-077',,,,,,,'24M02Z'
'24','DP','CM01','DP','D-098',,,,,,,'24M37Z'
'24','DP','CM02','1A','CM02','1A','A-213',,,,,'24C52Z'
'24','DP','CM02','1A','CM02','1A','A-010',,,,,'24C03Z'
'24','DP','CM02','1A','CM02','1D','D-095',,,,,'24C40Z'
'24','DP','CM02','1A','CM02','1A','A-184',,,,,'24C41Z'
'24','DP','CM02','1A','CM02',,,,,,,'24C04Z'
'24','DP','CM02','1A','non médical',,,,,,,'90H03Z'
